"SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue"
"Fucus_distichus","Fucus vesiculosus",NA,"Fucus","Fucaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Ang; de Wreede","Mar Ecol Prog Ser","1993","10.3354/meps093253",NA,5,1985,1989,"12",1,"Plant size","Yes","No","False Creek",49.2833333333333,-123.116666666667,10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1985,NA,"9",1987,NA,"10","Divided","Yes",NA,9,13.8476666666667
"Fucus_distichus","Fucus vesiculosus",NA,"Fucus","Fucaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Ang; de Wreede","Mar Ecol Prog Ser","1993","10.3354/meps093253",NA,5,1985,1989,"12",1,"Plant size","Yes","No","False Creek",49.2833333333333,-123.116666666667,10,"CAN","N America","TCF","A","Seasonal","Unmanipulated","W",1986,NA,"9",1986,NA,"10","Divided","Yes","Mean values of the 3 permanent quadrats",9,39.872
"Fucus_distichus","Fucus vesiculosus",NA,"Fucus","Fucaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Ang; de Wreede","Mar Ecol Prog Ser","1993","10.3354/meps093253",NA,5,1985,1989,"12",1,"Plant size","Yes","No","False Creek",49.2833333333333,-123.116666666667,10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1985,NA,"12",1987,NA,"1","Divided","Yes",NA,9,1.108
"Fucus_distichus","Fucus vesiculosus",NA,"Fucus","Fucaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Ang; de Wreede","Mar Ecol Prog Ser","1993","10.3354/meps093253",NA,5,1985,1989,"12",1,"Plant size","Yes","No","False Creek",49.2833333333333,-123.116666666667,10,"CAN","N America","TCF","A","Seasonal","Unmanipulated","W",1985,NA,"12",1986,NA,"1","Divided","Yes","Mean values of the 3 permanent quadrats",9,1.216
"Murdannia_nudiflora","Murdannia nudiflora",NA,"Murdannia","Commelinaceae","Commelinales","Liliopsida","Magnoliophyta","Plantae","Annual","Monocot","Angiosperm","Burns","Ecol Appl","2008","10.1890/07-0568.1",NA,1,2004,2004,NA,1,"No","Yes","No",NA,NA,NA,NA,"CAN","N America","LAB","A","Mean","Unmanipulated","W",NA,NA,NA,NA,NA,NA,"Divided","Yes","Low nutrients, low water; Data is from a greenhouse experiment",3,1
"Tillandsia_multicaulis_2","Tillandsia multicaulis",NA,"Tillandsia","Bromeliaceae","Poales","Liliopsida","Magnoliophyta","Plantae","Epiphyte","Monocot","Angiosperm","Toledo-Aceves; Hernandez-Apolinar; Valverde","Acta Oeco","2014","10.1016/j.actao.2014.05.009",NA,3,2009,2011,"1",1,"Plant size (length of all rosettes that comprised a genet)","Yes","No","San Andrés Tlalnelhuayocan, Veracruz",19.51675,-97.0006944444444,1660,"MEX","N America","TMB","A","Mean","Unmanipulated","W",2009,NA,NA,2011,NA,NA,"Divided","Yes",NA,5,2.638
"Asplenium_adulterinum","Asplenium adulterinum",NA,"Asplenium","Aspleniaceae","Polypodiales","Polypodiopsida","Pteridophyta","Plantae","Fern",NA,NA,"Bucharová; Münzbergová; Tájek","Am J Bot","2010","10.3732/ajb.0900351","Buchrova Amer J Bot 2010 unscanned values calculation by stefan.xls",4,2004,2007,"1",6,"Number of leaves; leaf size","No","No","Open 1; Open 2; Open 3; Forest 1; Forest 2; Forest 3",50.0671111111111,12.7835555555556,747,"CZE","Europe","TBM","A","Mean","Unmanipulated","W",2004,NA,"8",2007,NA,"7","Divided","Yes",NA,4,0.963616222222222
"Asplenium_adulterinum","Asplenium adulterinum",NA,"Asplenium","Aspleniaceae","Polypodiales","Polypodiopsida","Pteridophyta","Plantae","Fern",NA,NA,"Bucharová; Münzbergová; Tájek","Am J Bot","2010","10.3732/ajb.0900351","Buchrova Amer J Bot 2010 unscanned values calculation by stefan.xls",4,2004,2007,"1",6,"Number of leaves; leaf size","No","No","Forest 2",50.0178611111111,12.7176111111111,874,"CZE","Europe","TBM","A","Mean","Unmanipulated","W",2004,NA,"8",2007,NA,"7","Divided","Yes",NA,4,0.963889
"Asplenium_adulterinum","Asplenium adulterinum",NA,"Asplenium","Aspleniaceae","Polypodiales","Polypodiopsida","Pteridophyta","Plantae","Fern",NA,NA,"Bucharová; Münzbergová; Tájek","Am J Bot","2010","10.3732/ajb.0900351","Buchrova Amer J Bot 2010 unscanned values calculation by stefan.xls",4,2004,2007,"1",6,"Number of leaves; leaf size","No","No","Forest 3",50.0504166666667,12.7675,761,"CZE","Europe","TBM","A","Mean","Unmanipulated","W",2004,NA,"8",2007,NA,"7","Divided","Yes",NA,4,0.993277333333333
"Agropyron_repens","Elymus repens",NA,"Elymus","Poaceae","Poales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Mortimer","Book","1983",NA,NA,4,1977,1980,"6",4,"No","Yes","No",NA,NA,NA,NA,"GBR","Europe","TBM","A","Mean","Unmanipulated","W",NA,NA,"2",NA,NA,"1","Divided","Yes","Corrected seed stage",5,0.3451
"Agropyron_repens","Elymus repens",NA,"Elymus","Poaceae","Poales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Mortimer","Book","1983",NA,NA,4,1977,1980,"6",4,"No","Yes","No",NA,NA,NA,NA,"GBR","Europe","TBM","A","Individual","Unmanipulated","W",NA,NA,"2",NA,NA,"3","Divided","Yes","Corrected seed stage",5,0.59
